ID,Title,Keywords,FirstLevel,Processed_Title,Processed_Keyword,Processed_T_K
170,P Systems with Active Membranes and Separation Rules,"Natural computing,Membrane computing,Distributed computing",['C' 'F'],active membranes,natural computing,active membranes natural computing
172,Knowledge Integration as a Source of Competitive Advantage in Large Croatian Enterprises,"knowledge integration,knowledge management,strategic human resource management,competitive advantage",['A' 'H'],large croatian enterprises,strategic human resource management,large croatian enterprises strategic human resource management
173,"A Systematic Approach for Knowledge Audit Analysis: Integration of Knowledge Inventory, Mapping and Knowledge Flow Analysis","knowledge audit,knowledge inventory,knowledge map,social network analysis,knowledge flow analysis",['A'],knowledge audit analysis,social network analysis,knowledge audit analysis social network analysis
174,Semantic-based Approach to Task Assignment of Individual Profiles,"skill matching,knowledge elicitation,Description Logics",['H' 'I' 'K'],semantic-based approach,skill matching,semantic-based approach skill matching
175,Facilitating Knowledge Communication through Joint Interactive Visualization,"visualization,knowledge communication,knowledge evasion,knowledge refusal,knowledge disavowal,joint interaction",['H' 'J'],facilitating knowledge communication,knowledge communication,facilitating knowledge communication knowledge communication
176,A Framework for the Successful Introduction of KM Using CBR and Semantic Web Technologies,"case-based reasoning,knowledge management,semantic Web",['H'],semantic web technologies,case-based reasoning,semantic web technologies case-based reasoning
177,Knowledge Management Analysis of the Research & Development & Transference Process at HEROs: a Public University Case,"Knowledge Management at Universities,Research and Development Management,Process Analysis",['A' 'E' 'K'],research & development & transference process,knowledge management,research & development & transference process knowledge management
178,SELaKT - Social Network Analysis as a Method for Expert Localisation and Sustainable Knowledge Transfer,"knowledge networks,collaboration,communities of practice,expert localisation,distributed knowledge management,knowledge sharing,social network analysis,sustainability,strategies,implementation,applied research",['A' 'H' 'J'],social network analysis,social network analysis,social network analysis social network analysis
179,"An Investigation into Sharing Metadata: ""I'm not thinking what you are thinking""","metadata,knowledge sharing,agreement",['H'],sharing metadata,knowledge sharing,sharing metadata knowledge sharing
181,Modelling Lexical Databases with Formal Concept Analysis,"Formal Concept Analysis,lexical databases,semantic relations",['I'],modelling lexical databases,formal concept analysis,modelling lexical databases formal concept analysis
182,Breadth First Search Graph Partitions and Concept Lattices,"formal concept analysis,Bipartite Graph,Breadth First Search",['G'],search graph partitions,formal concept analysis,search graph partitions formal concept analysis
183,Exploiting the Potential of Concept Lattices for Information Retrieval with CREDO,"concept lattices,information retrieval,CREDO,web mining",['H'],concept lattices,concept lattices,concept lattices concept lattices
184,Conflict Avoidance in Additive Order Diagrams,"lattice diagrams,automatic diagram layout",['H'],additive order diagrams,automatic diagram layout,additive order diagrams automatic diagram layout
186,On the Intractability of Computing the Duquenne-Guigues Base,"implication base,computational complexity",['F' 'H'],duquenne-guigues base,implication base,duquenne-guigues base implication base
187,Galois Lattice Theory for Probabilistic Visual Landmarks,"computer vision,visual landmarks,localization,orientation,autonomous mobile robotics,Galois lattices,concept lattices,formal concept analysis.",['H'],galois lattice theory,autonomous mobile robotics,galois lattice theory autonomous mobile robotics
189,FBT: A Tool for Applying Interval Logic Specifications to On-the-fly Model Checking,"specification,temporal logic,interval logic,FIL (Future Interval Logic),GIL (Graphical Interval Logic),automatic verification,on-the-fly model checking,tableau method,Buechi Automata",['D' 'F'],applying interval logic specifications,on-the-fly model checking,applying interval logic specifications on-the-fly model checking
190,Checking Consistency between UML Class and State Models Based on CSP and B,"UML,formal methods,Communicating Sequential Processes,B Abstract Mac,hine Notation",['D'],state models based,communicating sequential processes,state models based communicating sequential processes
191,Automated Support for Enterprise Information Systems,"automated reasoning,formal specification,heuristics,OTTER,set theory,Z",['D' 'F' 'I'],enterprise information systems,automated reasoning,enterprise information systems automated reasoning
192,MINCE: A Static Global Variable-Ordering Heuristic for SAT Search and BDD Manipulation,"SAT,CNF,BDDs,backtrack search,decision heuristics,variable ordering,formal verification,partitioning",['I'],static global variable-ordering heuristic,backtrack search,static global variable-ordering heuristic backtrack search
193,Using Global Structural Relationships of Signals to Accelerate SAT-based Combinational Equivalence Checking,"Boolean Satisfiability (SAT),Static Logic Implications,Combinational Equivalence Checking (CEC),Propositional Formula,Boolean Formula",['B' 'F' 'I'],accelerate sat-based combinational equivalence checking,static logic implications,accelerate sat-based combinational equivalence checking static logic implications
194,Improving SAT-based Bounded Model Checking by Means of BDD-based Approximate Traversals,"binary decision diagrams (BDDs),satisfiability  (SAT),bounded model checking (BMC),reachability analysis",['I' 'J'],improving sat-based bounded model checking,binary decision diagrams,improving sat-based bounded model checking binary decision diagrams
195,Function-Complete Lookahead in Support of Efficient SAT Search Heuristics,"Binary Decision Diagrams,Bounded Model Checking,DAG,Satisfiability,State Machines,Satisfiability Decision Heuristics",['B' 'F'],efficient sat search heuristics,binary decision diagrams,efficient sat search heuristics binary decision diagrams
196,A Signal Correlation Guided Circuit-SAT Solver,"Boolean satisfiability,Boolean equivalence checking,ATPG",['B'],signal correlation guided circuit-sat solver,boolean equivalence checking,signal correlation guided circuit-sat solver boolean equivalence checking
